Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,IMDB Link,5 Star Rating,,,1242,1418,1286
Old Guard,8/17/2020,Phill,8,8,8,8,2020,https://www.imdb.com/title/tt7556122/?ref_=nv_sr_srsg_0,4,Yes,,202,,
Death Proof,8/24/2020,Jim,7,9,7,8,2007,https://www.imdb.com/title/tt1028528/?ref_=fn_al_tt_1,4,No,Phill's Avg Rating,6,,
Death of Dick Long,8/31/2020,Jon,7,8,9,8,2019,https://www.imdb.com/title/tt9356952/?ref_=nv_sr_srsg_0,4,Yes,Jim's Avg Rating,7,,
Brick,9/7/2020,Phill,9,7,6,7,2005,https://www.imdb.com/title/tt0393109/?ref_=nv_sr_srsg_0,3,No,Jon's Avg Rating,6,,
Noises Off,9/14/2020,Jim,9,10,1,7,1992,https://www.imdb.com/title/tt0105017/?ref_=nv_sr_srsg_0,3,No,,,,
Army of One,9/21/2020,Jon,6,9,9,8,2016,https://www.imdb.com/title/tt4382824/?ref_=nv_sr_srsg_3,4,No,,,,
Drop Dead Gorgeous,9/28/2020,Phill,8,8,8,8,1999,https://www.imdb.com/title/tt0157503/?ref_=nv_sr_srsg_0,4,Yes,,,,
Demon Knight,10/5/2020,Jim,6,9,8,8,1995,https://www.imdb.com/title/tt0114608/?ref_=nv_sr_srsg_0,4,No,,,,
Christmas Evil,10/12/2020,Jon,5,10,10,8,1980,https://www.imdb.com/title/tt0081793/?ref_=nv_sr_srsg_0,4,No,,,,
It Follows,10/19/2020,Phill,8,10,7,8,2014,https://www.imdb.com/title/tt3235888/?ref_=nv_sr_srsg_0,4,No,,,,
Near Dark,10/26/2020,Jim,7,10,6,8,1987,https://www.imdb.com/title/tt0093605/?ref_=nv_sr_srsg_0,4,No,,,,
Creep,11/2/2020,Jon,8,8,8,8,2014,https://www.imdb.com/title/tt2428170/?ref_=nv_sr_srsg_0,4,Yes,,,,
Lucky Number Slevin,11/9/2020,Phill,7,8,7,7,2006,https://www.imdb.com/title/tt0425210/?ref_=nv_sr_srsg_0,3,No,,,,
Terror Firmer,11/6/2020,Jim,2,9,3,5,1999,https://www.imdb.com/title/tt0169299/?ref_=nv_sr_srsg_0,2,No,,,,
Gregory's Girl,11/23/2020,Jon,5,5,5,5,1980,https://www.imdb.com/title/tt0082477/?ref_=nv_sr_srsg_0,2,Yes,,,,
Zero Effect,11/30/2020,Phill,6,8,7,7,1998,https://www.imdb.com/title/tt0120906/?ref_=nv_sr_srsg_0,3,No,,,,
Santa Claus The Movie,12/7/2020,Jim,6,7,5,6,1985,https://www.imdb.com/title/tt0089961/?ref_=nv_sr_srsg_0,3,No,,,,
Midnight Madness,Jim's B-Day,Jim,7,10,8,8,1980,https://www.imdb.com/title/tt0081159/?ref_=nv_sr_srsg_0,4,No,,,,
Christmas in Wonderland,12/14/2020,Jon,6,7,7,7,2006,https://www.imdb.com/title/tt0991150/?ref_=nv_sr_srsg_1,3,No,,,,
One Magic Christmas,12/21/2020,Phill,5,7,5,6,1985,https://www.imdb.com/title/tt0089731/?ref_=nv_sr_srsg_0,3,No,,,,
Toys,12/28/2020,Jim,5,8,7,7,1992,https://www.imdb.com/title/tt0105629/?ref_=nv_sr_srsg_0,3,No,,,,
Extra Ordinary,1/4/2021,Jon,8,8,9,8,2019,https://www.imdb.com/title/tt8233874/?ref_=nv_sr_srsg_0,4,No,,,,
American Graffiti,1/11/2021,Phill,7,8,7,7,1973,https://www.imdb.com/title/tt0069704/?ref_=nv_sr_srsg_0,3,No,,,,
Ritual,1/18/2021,Jim,7,8,5,7,2017,https://www.imdb.com/title/tt5638642/?ref_=nv_sr_srsg_0,3,No,,,,
The Visit,1/25/2021,Jon,6,7,8,7,2015,https://www.imdb.com/title/tt3567288/?ref_=nv_sr_srsg_0,3,Yes,,,,
Electric Dreams,2/1/2021,Phill,5,1,1,2,1984,https://www.imdb.com/title/tt0087197/?ref_=nv_sr_srsg_3,1,No,,,,
Drawing Flies,2/8/2021,Jim,3,4,2,3,1996,https://www.imdb.com/title/tt0116138/?ref_=nv_sr_srsg_0,1,No,,,,
Bullit County,2/15/2021,Jon,7,6,4,6,2018,https://www.imdb.com/title/tt6140148/?ref_=nv_sr_srsg_0,3,No,,,,
Diggs Town,2/22/2021,Phill,8,8,8,8,1992,https://www.imdb.com/title/tt0104107/?ref_=nv_sr_srsg_2,4,Yes,,,,
Long Kiss Goodnight,3/1/2021,Jim,7,9,8,8,1996,https://www.imdb.com/title/tt0116908/?ref_=nv_sr_srsg_0,4,No,,,,
The Cleanse,3/8/2021,Jon,6,7,7,7,2016,https://www.imdb.com/title/tt3734354/?ref_=nv_sr_srsg_0,3,No,,,,
Starter for 10,3/15/2021,Phill,6,7,6,6,2006,https://www.imdb.com/title/tt0477095/?ref_=nv_sr_srsg_0,3,No,,,,
Quick Change,3/22/2021,Jim,8,10,8,9,1990,https://www.imdb.com/title/tt0100449/?ref_=nv_sr_srsg_0,4,No,,,,
Stardust,3/29/2021,Jon,8,7,9,8,2007,https://www.imdb.com/title/tt0486655/?ref_=nv_sr_srsg_0,4,No,,,,
Jumper,4/5/2021,Phill,7,7,8,7,2008,https://www.imdb.com/title/tt0489099/?ref_=nv_sr_srsg_0,3,No,,,,
Reposessed,4/12/2021,Jim,6,8,7,7,1990,https://www.imdb.com/title/tt0100475/?ref_=nv_sr_srsg_0,3,No,,,,
Willy's Wonderland,2/24/1901,Jon,7,10,9,9,2021,https://www.imdb.com/title/tt8114980/?ref_=nv_sr_srsg_0,4,No,,,,
How I Got Into College,4/26/2021,Phill,7,4,3,5,1989,https://www.imdb.com/title/tt0097530/?ref_=nv_sr_srsg_0,2,No,,,,
Shrunken Heads,5/3/2021,Jim,6,5,3,5,1994,https://www.imdb.com/title/tt0111175/?ref_=nv_sr_srsg_0,2,No,,,,
Freddy Got Fingered,5/10/2021,Jon,5,8,7,7,2001,https://www.imdb.com/title/tt0240515/?ref_=nv_sr_srsg_0,3,No,,,,
Wanted,5/17/2021,Phill,6,8,6,7,2008,https://www.imdb.com/title/tt0493464/?ref_=nv_sr_srsg_2,3,No,,,,
11 Harrowhouse,5/24/2021,Jim,7,9,5,7,1974,https://www.imdb.com/title/tt0071080/?ref_=nv_sr_srsg_0,3,No,,,,
Cut Bank,5/31/2021,Jon,7,9,8,8,2014,https://www.imdb.com/title/tt1661820/?ref_=nv_sr_srsg_0,4,No,,,,
Push,6/7/2021,Phill,5,7,5,6,2009,https://www.imdb.com/title/tt0465580/?ref_=nv_sr_srsg_0,3,No,,,,
The Amusement Park,6/14/2021,Jim,1,3,1,2,1975,https://www.imdb.com/title/tt9270362/?ref_=nv_sr_srsg_0,1,No,,,,
Garbage Pail Kids The Movie,6/21/2021,Jon,4,10,7,7,1987,https://www.imdb.com/title/tt0093072/?ref_=nv_sr_srsg_0,3,No,,,,
Salt,6/28/2021,Phill,7,7,7,7,2010,https://www.imdb.com/title/tt0944835/?ref_=nv_sr_srsg_0,3,Yes,,,,
Fearstreet 94,7/5/2021,Jim,7,7,5,6,2021,https://www.imdb.com/title/tt6566576/?ref_=nv_sr_srsg_0,3,No,,,,
Don Verdean,7/12/2021,Jon,6,6,7,6,2015,https://www.imdb.com/title/tt3534282/?ref_=nv_sr_srsg_0,3,No,,,,
Vicious Lips,Jon's B-Day,Jon,2,3,2,2,1986,https://www.imdb.com/title/tt0163375/?ref_=nv_sr_srsg_0,1,No,,,,
Defending Your Life,7/19/2021,Phill,7,3,4,5,1991,https://www.imdb.com/title/tt0101698/?ref_=nv_sr_srsg_0,2,No,,,,
State and Main,Phill's B-Day,Phill,9,7,9,8,2000,https://www.imdb.com/title/tt0120202/?ref_=nv_sr_srsg_0,4,No,,,,
In the Mouth of Madness,7/26/2021,Jim,7,10,7,8,1994,https://www.imdb.com/title/tt0113409/?ref_=nv_sr_srsg_0,4,No,,,,
Fried Barry,8/2/2021,Jon,5,10,8,8,2020,https://www.imdb.com/title/tt9102084/?ref_=nv_sr_srsg_0,4,No,,,,
Nobody,8/9/2021,Phill,9,9,9,9,2021,https://www.imdb.com/title/tt7888964/?ref_=nv_sr_srsg_0,4,Yes,,,,
New Mutants,8/16/2021,Jim,6,6,5,6,2020,https://www.imdb.com/title/tt4682266/?ref_=nv_sr_srsg_0,3,No,,,,
The Oak Room,8/23/2021,Jon,5,8,7,7,2020,https://www.imdb.com/title/tt10743534/?ref_=nv_sr_srsg_0,3,No,,,,
News of the World,8/30/2021,Phill,6,5,7,6,2020,https://www.imdb.com/title/tt6878306/?ref_=nv_sr_srsg_0,3,No,,,,
The Adventures of Sherlock Holmes' Smarter Brother,9/6/2021,Jim,6,8,6,7,1975,https://www.imdb.com/title/tt0072608/?ref_=nv_sr_srsg_5,3,No,,,,
The Drop,9/13/2021,Jon,8,8,8,8,2014,https://www.imdb.com/title/tt1600196/?ref_=nv_sr_srsg_0,4,Yes,,,,
Ghost in the Shell (2017),9/20/2021,Phill,4,4,4,4,2017,https://www.imdb.com/title/tt1219827/?ref_=nv_sr_srsg_0,2,Yes,,,,
Hysterical,9/27/2021,Jim,2,3,3,3,1982,https://www.imdb.com/title/tt0085704/?ref_=nv_sr_srsg_0,1,No,,,,
The House that Jack Built,10/4/2021,Jon,5,6,7,6,2018,https://www.imdb.com/title/tt4003440/?ref_=nv_sr_srsg_0,3,Yes,,,,
The Mortuary Collection,10/11/2021,Phill,8,7,6,7,2019,https://www.imdb.com/title/tt7781432/?ref_=nv_sr_srsg_0,3,Yes,,,,
Pontypool,10/18/2021,Jim,6,8,5,6,2008,https://www.imdb.com/title/tt1226681/?ref_=nv_sr_srsg_0,3,No,,,,
Summer of Blood,10/25/2021,Jon,4,4,4,4,2014,https://www.imdb.com/title/tt3625352/?ref_=nv_sr_srsg_0,2,Yes,,,,
Freaky,11/1/2021,Phill,7,7,7,7,2020,https://www.imdb.com/title/tt10919380/?ref_=nv_sr_srsg_0,3,Yes,,,,
Clockwise,11/8/2021,Jim,4,7,3,5,1986,https://www.imdb.com/title/tt0090852/?ref_=nv_sr_srsg_0,2,No,,,,
Postal,11/15/2021,Jon,4,5,4,4,2007,https://www.imdb.com/title/tt0486640/?ref_=nv_sr_srsg_0,2,No,,,,
Moonrise Kingdom,11/22/2021,Phill,7,6,4,6,2012,https://www.imdb.com/title/tt1748122/?ref_=nv_sr_srsg_0,3,No,,,,
Mandy,11/29/2021,Jim,3,8,3,5,2018,https://www.imdb.com/title/tt6998518/?ref_=nv_sr_srsg_3,2,No,,,,
Million Dollar Mystery,Jim's B-Day,Jim,5,7,6,6,1987,https://www.imdb.com/title/tt0093539/?ref_=nv_sr_srsg_0,3,No,,,,
8-bit Christmas ,12/6/2021,Jon,7,7,8,7,2021,https://www.imdb.com/title/tt11540284/?ref_=nv_sr_srsg_0,3,No,,,,
The Man Who Invented Christmas,12/13/2021,Phill,7,7,10,8,2017,https://www.imdb.com/title/tt6225520/?ref_=nv_sr_srsg_3,4,No,,,,
Trapped in Paradise,12/20/2021,Jim,4,7,5,5,1994,https://www.imdb.com/title/tt0111477/?ref_=nv_sr_srsg_0,2,No,,,,
Better Watch Out,12/27/2021,Jon,8,8,9,8,2016,https://www.imdb.com/title/tt4443658/?ref_=nv_sr_srsg_0,4,No,,,,
Iron Giant,1/3/2022,Phill,8,8,8,8,1999,https://www.imdb.com/title/tt0129167/?ref_=nv_sr_srsg_0,4,Yes,,,,
Ghostbusters Afterlife,1/10/2022,Jim,9,10,10,10,2021,https://www.imdb.com/title/tt4513678/?ref_=nv_sr_srsg_0,5,No,,,,
TMNT III,1/17/2022,Jon,6,7,7,7,1993,https://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_10,3,No,,,,
