Movie Name,Date,Picked By,Phill Score,Jim Score,Jon Score ,Avg Rating,Release Year,1333,@,TMDB_ID,Overview,Genres,Release Date,Vote Average,Vote Count,TMDb Link
Old Guard,8/17/2020,phill,8.0,8.0,8.0,8,2020.0,,,547016,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,"Action, Fantasy",2020-07-10,7.147,4029,https://www.themoviedb.org/movie/547016
Death Proof,8/24/2020,jim,7.0,9.0,7.0,8,2007.0,,,1991,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.","Action, Thriller",2007-05-22,6.838,4981,https://www.themoviedb.org/movie/1991
Death of Dick Long,8/31/2020,jon,7.0,8.0,9.0,8,2019.0,,,565383,"Dick died last night, and Zeke and Earl don’t want anybody finding out how. That’s too bad though, cause news travels fast in small-town Alabama.","Comedy, Crime, Drama",2019-09-27,6.079,139,https://www.themoviedb.org/movie/565383
Brick,9/7/2020,phill,9.0,7.0,6.0,7,2005.0,,,9270,"After a phone call from his ex-girlfriend, teenage loner Brendan Frye learns that her dead body was found. Vowing to solve her murder himself, he must infiltrate high-school cliques that he previously avoided. His search for the truth brings him before some of the school’s roughest characters.","Drama, Mystery",2006-03-31,6.8,1187,https://www.themoviedb.org/movie/9270
Noises Off,9/14/2020,jim,9.0,10.0,1.0,7,1992.0,,,26670,"Hired to helm an Americanized take on a British play, director Lloyd Fellowes does his best to control an eccentric group of stage actors. With a star actress quickly passing her prime, a male lead with no confidence, and a bit actor that's rarely sober, chaos ensues in the lead up to a Broadway premiere.",Comedy,1992-03-20,7.151,175,https://www.themoviedb.org/movie/26670
Army of One,9/21/2020,jon,6.0,9.0,9.0,8,2016.0,,,768939,"Out hiking, Special Forces Brenner Baker stumbles onto a Cartel's compound. Her husband's killed and she's left for dead. The Cartel made two mistakes, killed her husband and left her alive. They won't live to make another.",Action,2020-12-14,5.675,183,https://www.themoviedb.org/movie/768939
Drop Dead Gorgeous,9/28/2020,phill,8.0,8.0,8.0,8,1999.0,,,10490,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps; explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town, the police are pretty relaxed about it all. Despite everything, main rival (but sweet) Amber Atkins won't give up without a fight.",Comedy,1999-07-23,6.391,362,https://www.themoviedb.org/movie/10490
Demon Knight,10/5/2020,jim,6.0,9.0,8.0,8,1995.0,,,9059,"Ex-soldier Frank Brayker is the guardian of an ancient key that can unlock tremendous evil; the sinister Collector is a demon who wants the key so he can initiate the apocalypse. On the run from wicked mercenaries for almost 90 years, Brayker finally stops in at a boarding house in New Mexico where — with the help of its residents — he plans to face off against the Collector and his band of ghouls, preventing them from ever seizing the key.","Horror, Comedy, Thriller",1995-01-13,6.8,462,https://www.themoviedb.org/movie/9059
Christmas Evil,10/12/2020,jon,5.0,10.0,10.0,8,1980.0,,,27230,"Garbed in his red suit, Harry, a toy factory worker, decides that the only thing he can do to save the spirit of Christmas is to become Santa Claus himself and make all of the naughty townspeople pay... in blood!","Horror, Thriller",1980-11-01,5.456,160,https://www.themoviedb.org/movie/27230
It Follows,10/19/2020,phill,8.0,10.0,7.0,8,2014.0,,,270303,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.","Horror, Mystery",2015-02-04,6.573,6185,https://www.themoviedb.org/movie/270303
Near Dark,10/26/2020,jim,7.0,10.0,6.0,8,1987.0,,,11879,A farm boy reluctantly becomes a member of the undead when a girl he meets turns out to be part of a band of vampires who roam the highways in stolen cars.,Horror,1987-10-02,6.885,715,https://www.themoviedb.org/movie/11879
Creep,11/2/2020,jon,8.0,8.0,8.0,8,2014.0,,,250574,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",Horror,2014-06-23,6.37,1365,https://www.themoviedb.org/movie/250574
Lucky Number Slevin,11/9/2020,phill,7.0,8.0,7.0,7,2006.0,,,186,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.","Drama, Thriller, Crime, Mystery",2006-02-24,7.478,3930,https://www.themoviedb.org/movie/186
Terror Firmer,11/6/2020,jim,2.0,9.0,3.0,5,1999.0,,,14005,A low-budget film crew working in New York City find themselves being preyed upon by a sexually conflicted serial killer.,"Horror, Comedy",1999-10-29,6.105,95,https://www.themoviedb.org/movie/14005
Gregory's Girl,11/23/2020,jon,5.0,5.0,5.0,5,1980.0,,,21764,A teenager falls hard for the female soccer player who has replaced him on the team and attempts to pursue her.,"Comedy, Romance",1981-04-23,6.702,124,https://www.themoviedb.org/movie/21764
Zero Effect,11/30/2020,phill,6.0,8.0,7.0,7,1998.0,,,16148,"Daryl Zero is a private investigator and—along with his assistant, Steve Arlo—he solves impossible crimes and puzzles. Although Daryl's a master investigator, he doesn't know what to do with himself when he's not working; he has no social skills, writes bad music and drives Steve crazy.","Comedy, Crime, Drama",1998-01-30,6.225,169,https://www.themoviedb.org/movie/16148
Santa Claus The Movie,12/7/2020,jim,6.0,7.0,5.0,6,1985.0,,,13764,"In ancient times, a man named Claus, who delivers toys in his small village, fulfils his destiny to become Santa Claus after meeting an expert toy-making elf, Patch, in the North Pole. In the present day, Santa Claus has become overwhelmed by his workload, and the disgruntled Patch flees the workshop to New York City. There, Patch unknowingly threatens the fate of Christmas by taking a job at a failing toy company run by a scheming businessman.","Family, Fantasy, Adventure",1985-10-29,6.3,254,https://www.themoviedb.org/movie/13764
Midnight Madness,Jim's B-Day,jim,7.0,10.0,8.0,8,1980.0,,,17971,A genius grad student organizes an all-night treasure hunt in which five rival teams composed of colorful oddballs furiously match wits with one another while trying to locate and decipher various cryptic clues planted ingeniously around Los Angeles.,"Comedy, Family",1980-02-08,5.658,57,https://www.themoviedb.org/movie/17971
Christmas in Wonderland,12/14/2020,jon,6.0,7.0,7.0,7,2006.0,,,14094,"Three kids and their Dad move from L.A to Edmonton. When they go shopping at West Edmonton Mall they find counterfeit cash. They inadvertently help catch the crooks, and later make a discovery about Santa",Comedy,2007-12-27,5.528,83,https://www.themoviedb.org/movie/14094
One Magic Christmas,12/21/2020,phill,5.0,7.0,5.0,6,1985.0,,,13380,"Ginny Grainger, a young mother, rediscovers the joy and beauty of Christmas, thanks to the unshakable faith of her six-year-old daughter Abbie and Gideon, Ginny's very own guardian angel.","Family, Fantasy",1985-11-22,5.7,96,https://www.themoviedb.org/movie/13380
Toys,12/28/2020,jim,5.0,8.0,7.0,7,1992.0,,,11597,"Leslie Zevo is a fun-loving inventor who must save his late father's toy factory from his evil uncle, Leland, a war-mongering general who rules the operation with an iron fist and builds weapons disguised as toys.","Family, Fantasy, Comedy, Science Fiction",1992-12-18,5.3,526,https://www.themoviedb.org/movie/11597
Extra Ordinary,1/4/2021,jon,8.0,8.0,9.0,8,2019.0,,,538227,A driving instructor must use her other-worldly gifts to save a lonely man’s daughter from a rock star looking to use her for Satanic purposes.,"Fantasy, Comedy, Horror",2019-09-13,6.5,230,https://www.themoviedb.org/movie/538227
American Graffiti,1/11/2021,phill,7.0,8.0,7.0,7,1973.0,,,838,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,"Comedy, Drama",1973-08-11,7.028,1374,https://www.themoviedb.org/movie/838
